,Başlık,İçerik,Kategori
47,Tekirdağ’da geri dönüşüm fabrikasının bahçesinde yangın,Tekirdağ'ın Çorlu ilçesinde faaliyet gösteren bir geri dönüşüm fabrikasının bahçesinde yangın çıktı. İtfaiye ekiplerinin müdahalesiyle yangın büyümeden söndürüldü.,Türkiye
48,"Isparta'da ""Narkoçelik"" operasyonu: 8 tutuklama","Isparta’da Narkotik Suçlarla Mücadele ekiplerince gerçekleştirilen “Narkoçelik"" operasyonunda 56 şüpheli hakkında adli işlem yapıldı, 8 şüpheli de tutuklanarak cezaevine gönderildi.",Türkiye
49,Habur Gümrük Kapısı'nda 850 kilogram eroin ele geçirildi,"Ticaret Bakanlığı Gümrük Muhafaza ekipleri, Habur Gümrük Kapısı'nda 850 kilogram eroin ele geçirirken, bu miktar tek seferde yakalanan en yüksek ağırlıktaki eroin oldu.",Türkiye
50,Hakkari'de martın sonunda 5 metre karla mücadele sürüyor,"Hakkari'nin Şemdinli ilçesinde ekipler, kar kalınlığının yer yer 5 metreyi bulduğu üs bölgesinin yolunu ulaşıma açmak için çalışma yürütüyor.",Türkiye
51,"Kayseri'de otomobil ile motosiklet çarpıştı: 1 ölü, 3 yaralı","Kayseri'nin merkez Kocasinan ilçesinde otomobil ile motosiklet çarpıştı. Yaşanan kazada 1 kişi hayatını kaybetti, 3 kişi yaralandı.",Türkiye
52,Çorum'da öğrenci servisiyle otomobil çarpıştı: 16 kişi yaralandı,Çorum'da öğrenci servisi ile otomobilin çarpıştığı kazada 15'i öğrenci 16 kişi yaralandı.,Türkiye
53,"Yurt genelinde ""Çember-15"" operasyonu: 2 bin 840 firari yakalandı","Aranan şahıslara yönelik 81 ilde 4 gündür devam eden ""Çember-15"" operasyonlarında arama kaydı bulunan 2 bin 840 firari yakalandı.",Türkiye
54,Temizlik malzemesinden etkilenen 12 öğrenci hastaneye kaldırıldı,Diyarbakır'ın merkez Sur ilçesinde okulda temizlik malzemesinden etkilenen 12 öğrenci zehirlenme şüphesiyle hastaneye kaldırıldı.,Türkiye
55,"Dolandırıcı oğlunun mağdurdan aldığı 1,5 milyon liralık ziynet eşyasını polise teslim etti","Bilecik'te telefonla aradığı kişiye kendisini polis olarak tanıtıp dolandırıcılık yaptığı öne sürülen zanlının babası, mağdura ait 1,5 milyon lira değerindeki ziynet eşyalarını polis merkezine götürdü.",Türkiye
56,Esenyurt'ta 5 katlı binada yangın,"Esenyurt'ta, 5 katlı binanın bodrum katında çıkan yangın söndürülürken, üst katlarda mahsur kalan 4 kişi itfaiye ekiplerince kurtarıldı.",Türkiye
