,Başlık,İçerik,Kategori
72,Yılın en etkileyici meteor yağmuru: Perseid ne zaman izlenebilir?,"Meteor yağmurlarının en görkemlisi Perseid, 12-13 Ağustos gecesi en yoğun dönemine ulaşacak. Saatte 60 ila 100 tane görülebilecek meteorların dünya atmosferine giriş hızları ise saniyede 59 kilometreyi bulacak.",Uzay
73,NASA bağlantıyı kaybettiği 'Voyager 2' uzay aracından sinyal aldı,"NASA, yanlış komut gönderip bağlantıyı kaybettiği ""Voyager 2"" uzay aracından günler sonra sinyal aldıklarını duyurdu.",Uzay
74,NASA Voyager 2'yi kaybetti: Yanlış komut anteni kaydırdı,"NASA'nın Voyager 2 uzay aracı, yanlış verilen bir komut nedeniyle sinyalini kaybetti. NASA, bu durumun aracın iletişim yeteneğini bozduğunu ve Dünya'daki görev ekibinden komut alamadığını açıkladı. Şimdi Avustralya Canberra'daki dev çanak anteni Voyager 2'den başıboş bir sinyal avlamaya çalışıyor.",Uzay
75,"Güneş'te, Dünya büyüklüğünde 20 gezegeni yutabilecek patlama",Güneş yüzeyinde Dünya'nın 20 katı büyüklüğündeki patlama görüntülendi. Temmuz ayındaki diğer patlamalar gibi bu patlamanın da Dünya'ya ulaşmayacağı bildirildi.,Uzay
76,Uzaya büyülü yolculuk: NASA,"Altmış beş yıldır NASA, gezegenimiz, Güneş Sistemi'miz ve evrenimiz hakkında keşifler yaparak evrenin sırlarını aydınlatmaya çalışıyor. Soğuk Savaş'la başlayan Mars'ta koloni kurmaya kadar uzanan, uzaydaki büyülü yolculuğa hazır olun; NASA'nın eşsiz hikayesi haberimizde...",Uzay
77,Webb teleskobu 1470 ışık yılı uzaktaki genç yıldız çiftinin fotoğrafını çekti,"James Webb Uzay Teleskobu, 1470 ışık yılı uzakta, Yelken (Vela) Takımyıldızı'nda bulunan ve oluşum aşamasındaki iki genç yıldızın kızılötesi görüntülerini yakaladı.",Uzay
78,"Uzayda bir ilk: Bir tarafı hidrojen, diğer tarafı helyumdan oluşan yıldız keşfedildi",Gökbilimciler iki yüzlü ve tuhaf görünümlü bir yıldız keşfetti. Yıldızın bir tarafı neredeyse tamamen hidrojenden ve diğer tarafı helyumdan oluşuyor gibi görünüyor.,Uzay
79,Ay yüzeyinin büyük bir kısmı sandığımızdan çok daha yaşlı,"Bilim insanları, Ay'ın yüzeyinin büyük bir kısmının önceden düşündüğümüzden yaklaşık 200 milyon yıl daha yaşlı olduğunu açıkladı. Kraterleri inceleyen araştırmacılar, bunların nasıl oluştuğuna dair bilgileri güncellediklerini ve aslında daha önce düşünülenden çok daha eski olduğunu söylüyor.",Uzay
80,Evrenin 'en yansıtıcı doğal nesnesi' bir ötegezegen keşfedildi,"Astronomlar, Samanyolu Galaksisi'nde ""dev bir aynaya"" benzediği için evrenin ""en yansıtıcı doğal nesnesi"" olarak nitelendirilen bir ötegezegen buldu.",Uzay
81,"James Webb, ilk galaksilerin oluşumuna ve farklı gezegenlerde yaşam araştırmalarına ışık tutacak","ABD Havacılık ve Uzay Ajansına (NASA) ait, uzayın derinliklerini gözlemleyen James Webb Uzay Teleskobu (JWST) ile ilk galaksi ve yıldızların oluşumunun yanı sıra Dünya dışında yaşanabilir gezegenler de araştırılıyor.",Uzay
82,"Çin'in yer aracı Curong, Mars'ta iklimin 400 bin yıl önce değiştiğini keşfetti","Çin'in Mars yer aracı Curong, Mars kumullarında yaptığı keşifte, iklimin 400 bin yıl önce önemli ölçüde değiştiğine dair deliller buldu.",Uzay
83,"Çin, uydu interneti teknolojisini test etmek için uydu fırlattı","Çin, uydu interneti teknolojisini test etmek amacıyla yeni bir uydu fırlattı.",Uzay
84,"NASA'nın James Webb Uzay Teleskobu bilinen ""en yaşlı süper kütleli kara deliği"" görüntüledi","ABD Havacılık ve Uzay Ajansı (NASA), James Webb Uzay Teleskobu ile CEERS 1019 galaksisinin merkezinde konumlanan bugüne kadar tespit edilmiş ""en yaşlı süper kütleli kara deliğin"" keşfedildiğini açıkladı.",Uzay
85,"Uzayın en karanlık noktası kara delikler, binlerce sırrı içinde barındırıyor","Yakınındaki her şeyi yutan kara deliklere dışarıdan giriş sağlanabilse de bu etkileşimin tek yönlü olmasından dolayı uzayın merak uyandıran karanlığı, dış dünyadan birçok bilgi de saklıyor.",Uzay
86,Uzayda mücadele: Asteroitlerin olası tehdidine karşı tedbir alınıyor,Dünya'ya tehdit teşkil etme ihtimalinden ötürü bilim insanlarınca dikkatle takip edilen asteroitlere karşı tedbirler alınmaya devam ediliyor.,Uzay
87,"Virgin Galactic, uzayın kenarına ilk ticari uçuş için hazırlanıyor",VSS Unity roket uçağındaki yolcular ve mürettebatın uzayın kenarına 90 dakikalık yörünge altı bir yolculuk yapmaları planlanıyor.,Uzay
88,Gökbilimciler 'var olmaması gereken' zombi gezegen buldu,"Bilim insanları, yıldızının şiddetli ölümünden mucizevi bir şekilde kurtulmuş gibi görünen, var olmaması gereken, yeni bir gezegen keşfetti.",Uzay
89,Jüpiter'deki şimşek parıltısının fotoğrafı çekildi,"NASA, 2020'nin sonlarında Jüpiter'in 31. yakın geçişi sırasında Juno uzay aracı tarafından çekilen fotoğrafları yayınlamaya başladı . Geçtiğimiz gün yayınlanan bir fotoğraf, gaz devinin kuzey kutbuna yakın bir girdabı ve bir şimşek çakmasından gözlemlenebilir bir parıltıyı gösterdi.",Uzay
90,"NASA'dan ""Ay'da yaşam olabilir"" açıklaması","NASA'dan bir bilim insanı, Ay'ın güney kutbundaki karanlık kraterlerde mikrobiyal yaşamın olabileceğini açıkladı.",Uzay
91,Yarının dünyasında Güneş’e hükmetmek: Medeniyetin geleceği nasıl değişecek?,California Teknoloji Enstitüsü araştırmacıları Güneş enerjisini uzaydan Dünya'ya ışınladı. Bu gelişme enerji üretiminde yeni bir dönemin kapısını açabilir. Peki uzayda toplanan Güneş enerjisi neden bu kadar önemli ve insan medeniyetinin geleceğini nasıl değiştirecek? Detaylar haberimizde...,Uzay
92,James Webb 17 milyon ışık yılı uzaklıktaki bir galaksiyi görüntüledi,"En gelişmiş uzay teleskobu James Webb, sarmal galaksi NGC 5068'i görüntüledi. 2 Haziran'da yayımlanan göz kamaştırıcı fotoğraf, galaksideki parlak yıldız kümelerini ortaya çıkardı.",Uzay
93,Bilim insanları ilk kez uzay tabanlı Güneş enerjisini Dünya'ya aktardı,"California Teknoloji Enstitüsü'nün (Caltech) araştırmacıları Güneş enerjisini uzaydan Dünya'ya tek bir kablo dahi olmadan ışınladı. Gelişme, enerjide bir devrimin kapısını açabilir.",Uzay
94,"James Webb Uzay Teleskobu, süper sıcak ötegezegenin atmosferinde su buldu","James Webb Uzay Teleskobu, yıldızının yörüngesinde, bir Dünya gününden daha kısa sürede dönen süper sıcak gaz devi bir ötegezegenin atmosferinde su buharı izleri buldu.",Uzay
95,"NASA'nın Mars helikopteri, sessizliğe gömüldü",Nisan 2019'da ilk kez gökyüzüne çıktığında başka bir gezegende kontrollü uçuş gerçekleştiren ilk makine olan NASA'nın Ingenuity helikopteri iletişim sorunları yaşıyor.,Uzay
96,Satürn'ün uydusunda buhar bulutu görüldü,"Satürn'ün uydularından biri olan Enceladus'tan çıkan devasa bir buhar bulutu görüldü. Enceladus, uzaylı yaşamı bulmak için en iyi umut olabilir.",Uzay
97,Evrenin ilk dönemlerinde Güneş'in 10 bin katı büyüklüğünde yıldızlar oluştuğu keşfedildi,"James Webb Uzay Teleskobu verilerini inceleyen bilim insanları, evrenin ilk dönemlerinde Güneş'in 10 bin katı büyüklüğünde yıldızların oluştuğunu tespit etti.",Uzay
98,Mars kabuğunun yer kabuğundan daha kalın olduğu ortaya çıktı,"Astronomlar Mars'ta şimdiye kadar kaydedilenlerin en büyüğü olan bir deprem yardımıyla, Mars kabuğunun Dünya'nın kabuğundan yaklaşık yüzde 70 daha kalın olduğunu tespit etti.",Uzay
