,Başlık,İçerik,Kategori
53,Trabzonspor deplasmanda kazandı,"Trendyol Süper Lig'in 26. haftasında Trabzonspor, deplasmanda Siltaş Yapı Pendikspor'u 2-0 mağlup etti.",Spor
54,Gaziantep'te kazanan çıkmadı,"Trendyol Süper Lig'in 26. haftasındaki Gaziantep FK, sahasında Yılport Samsunspor'la 1-1 berabere kaldı.",Spor
55,Adana Demirspor uzatmalarda maça ortak oldu,"Trendyol Süper Lig'in 26. haftasında Coredon Alanyaspor, sahasında Adana Demirspor ile 3–3 berabere kaldı. Adana ekibi, 90+7. dakikada maça ortak oldu.",Spor
56,"Milli halterciler Onur, Muhammed Emin ve Büşra, yarın podyuma çıkacak","Bulgaristan'da devam eden Avrupa Şampiyonası'nda milli haltercilerden erkekler 109 kiloda Onur Demirci ve Muhammed Emin Burun ile kadınlar 87 kiloda Büşra Çan, madalya mücadelesi için yarın podyuma çıkacak.",Spor
57,Bakan Bak'tan Mümin Talip Pazarlı için taziye mesajı,"Gençlik ve Spor Bakanı Osman Aşkın Bak, TFF 2. Lig'de yer alan Serik Belediyespor'un futbolcusu Mümin Talip Pazarlı'nın vefatı dolayısıyla başsağlığı mesajı yayımladı.",Spor
58,"Fenerbahçe, deplasmanda ilk kez geriye düştüğü maçta 3 puana uzandı","Çaykur Rizespor deplasmanından 3 puanla dönen Fenerbahçe, bu sezon dış sahada ilk kez geriye düştüğü bir maçı kazandı. 200 gün sonra Fenerbahçe forması giyen Serdar Dursun, golle döndü.",Spor
59,NBA All-Star maçı heyecanı başlıyor,"NBA All-Star maçı, yarın sabaha karşı oynanacak. Yıldız isimlerin yer alacağı maçta basketbolcular yeteneklerini sergileyecek. Doğu ve Batı Konferansı takımlarının karşı karşıya geleceği NBA All-Star maçı, pazartesi günü TSİ 04.00’de başlayacak.",Spor
60,"Başakşehir, yarın Kayserispor'u konuk edecek","RAMS Başakşehir, Trendyol Süper Lig'in 26. haftasında yarın Mondihome Kayserispor'u konuk edecek. Başakşehir Fatih Terim Stadı'nda saat 20.00'de oynanacak müsabakayı Oğuzhan Çakır yönetecek.",Spor
61,Muhammet Karavuş'tan gümüş madalya,"Romanya'nın başkenti Bükreş'te düzenlenen Avrupa Güreş Şampiyonası'nda serbest stil 57 kiloda Muhammet Karavuş gümüş, 97 kiloda İbrahim Çiftçi de bronz madalya kazandı. Avrupa Güreş Şampiyonası'nda Türkiye madalyaları toplamaya devam ediyor.",Spor
62,Beşiktaş ile Konyaspor arasındaki 46. randevu yarın,"Beşiktaş ile TÜMOSAN Konyaspor, Süper Lig'de yarın 46. kez karşı karşıya gelecek. İki takım arasında Süper Lig'de oynanan 45 maçta Beşiktaş'ın galibiyetlerde 25-6, gol sayısında ise 88-43 üstünlüğü bulunuyor.",Spor
63,Galatasaray'dan futbolcular için motivasyon hamlesi,"Galatasaray Sportif AŞ Başkan Vekili Erden Timur, Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü MKE Ankaragücü ile karşılaşacak sarı-kırmızılı takıma özel motivasyon çalışması yaptı.",Spor
64,Carlo Ancelotti: Arda Güler artık ilk 11'de oynayabilecek durumda,"İspanya 1. Futbol Ligi'nde (La Liga) 25. hafta maçında 18 Şubat Pazar günü deplasmanda Rayo Vallecano ile karşılaşacak Real Madrid'de teknik direktör Carlo Ancelotti, Arda Güler'in ilk 11'de sahaya çıkabilecek durumda olduğunu söyledi.",Spor
65,Abdülkadir Ömür asist yaptı Hull City kazandı,"İngiltere Championship’te Hull City, 90+4. dakikada Abdülkadir Ömür'ün asist yaptığı maçta Huddersfield’ı deplasmanda 2-1'lik skorla mağlup etti.",Spor
66,"Rizespor'da 4, Fenerbahçe'de tek değişiklik","Trendyol Süper Lig'in 26. haftasında Çaykur Rizespor'a konuk olan Fenerbahçe'de teknik direktör İsmail Kartal, ligde son oynadıkları Corendon Alanyaspor maçının ilk 11'ine göre kadrosunda tek değişikliğe gitti.",Spor
67,Milli güreşçi Muhammet Karavuş gümüş madalya aldı,"Romanya'da düzenlenen Avrupa Güreş Şampiyonası'nda milli sporcu Muhammet Karavuş, serbest stil 57 kiloda Ermenistan'dan Arsen Harutyunyan'a finalde kaybetti ve gümüş madalya aldı.",Spor
68,Milli güreşçiler finale yükseldi,"Romanya'da düzenlenen Avrupa Güreş Şampiyonası'nda serbest stilde milli güreşçiler Taha Akgül, Soner Demirtaş ve Feyzullah Aktürk, finale yükseldi.",Spor
69,Fenerbahçe Rize'de geriden gelerek kazandı,"Fenerbahçe, Trendyol Süper Lig'in 26. haftasında deplasmanda, 1-0 geriye düştüğü maçta, Çaykur Rizespor'u 3-1 yendi. Sarı lacivertlilerin gollerini Serdar Dursun, Dzeko ve İrfan Can Kahveci attı.",Spor
70,Milli judocu Ejder Toktay Azerbaycan'da bronz madalya kazandı,"Milli judocu Ejder Toktay, Azerbaycan'da düzenlenen Bakü Grand Slam müsabakalarında bronz madalya elde etti.",Spor
71,Antalyaspor'dan hakem kararlarına tepki,"Antalyaspor AŞ Yönetim Kurulu, Trendyol Süper Lig'in 26. haftasında İstanbulspor ile 2-2 berabere kaldıkları maçın ardından hakem yönetimine eleştiride bulundu.",Spor
72,Lider Liverpool deplasmanda farklı kazandı,"İngiltere Premier Lig lideri Liverpool, deplasmanda Brentford'u 4-1 mağlup etti.",Spor
73,Kayserispor Ali Karimi'nin sözleşmesini uzattı,"Trendyol Süper Lig ekiplerinden Mondihome Kayserispor, futbolcusu Ali Karimi'nin sözleşmesini 3 yıl uzattığını duyurdu.",Spor
74,Türkiye Büyükler Salon Atletizm Şampiyonası başladı,"Türkiye Atletizm Federasyonu (TAF) tarafından düzenlenen ve 2 gün sürecek Turkcell Türkiye Büyükler Salon Atletizm Şampiyonası, İstanbul'da başladı.",Spor
