,Başlık,İçerik,Kategori
50,Küresel piyasalar karışık seyrediyor,"Küresel piyasalarda, ABD'de açıklanacak veriler ve Fed yetkililerinin sözle yönlendirmelerinin varlık fiyatlarında oynaklığı artırması bekleniyor.",Ekonomi
51,"S&P, Türkiye'nin büyüme tahminini yükseltti","Uluslararası kredi derecelendirme kuruluşu S&P Global, Türkiye ekonomisine ilişkin büyüme tahmini bu yıl için yüzde 2,4'ten yüzde 3'e çıkardı.",Ekonomi
52,Emekliye promosyon ödemeleri yarın başlıyor,Emeklilerin banka promosyon tutarlarında artışa gidildi. Kamu bankaları 8 bin ile 12 bin lira arasında değişen tutarlarda promosyon ödeyecek. Başvurular bankalardan ya da e-Devlet üzerinden yapılabiliyor. Promosyon ödemeleri ise yarın başlayacak.,Ekonomi
53,"Fitch, Türkiye Varlık Fonu'nun kredi notunu yükseltti","Uluslararası kredi derecelendirme kuruluşu Fitch, Türkiye Varlık Fonu'nun (TVF) kredi notunu ""B""den ""B+""ya yükseltirken, not görünümünü “pozitif” olarak belirledi.",Ekonomi
54,"Fed'in faaliyet zararı geçen yıl 114,3 milyar doları buldu","ABD Merkez Bankası 2023'te toplam giderlerinin, kazançlarını 114,3 milyar dolar aştığını açıkladı.",Ekonomi
55,Bakan Işıkhan: SGK'ya en borçlu 5 belediyenin tamamı CHP'li belediyelerdir,"SGK'ya en borçlu 5 belediyenin tamamının CHP'li belediyeler olduğunun altını çizen Bakan Işıkhan, ""Ankara Büyükşehir Belediyesi'nin prim borcu, son 5 yılda 20 katına çıkmış. Ankara Büyükşehir Belediyesi, iflas bayrağını çekmiş vaziyette. İstanbul Büyükşehir Belediyesi, İzmir Büyükşehir Belediyesi ve diğer CHP'li belediyeler de aynı durumda"" dedi.",Ekonomi
56,SGK geçen yıl sağlığa 553 milyar lira harcadı,"Sosyal Güvenlik Kurumu'nun (SGK), 2023 yılındaki sağlık harcamaları 2022'ye göre yüzde 95,3 artışla 553 milyar 143 milyon lira oldu. Ayrıca SGK'nın geri ödeme listesinde 881'i kanser tedavisinde kullanılanlar olmak üzere toplam 8 bin 844 ilaç bulunuyor.",Ekonomi
57,Deprem bölgesine 500 milyon euro finansman desteği,Hazine ve Maliye Bakanlığı ile Avrupa İmar ve Kalkınma Bankası arasında deprem bölgesine 500 milyon euro finansman desteği sağlanmasına ilişkin mutabakat zaptı imzalandı.,Ekonomi
58,"İstanbul, yılın ilk 2 ayında yaklaşık 2,5 milyon ziyaretçi ağırladı","Türkiye'nin turizmde önde gelen şehirlerinden İstanbul, yılın ilk 2 ayında 2 milyon 457 bin 518 yabancı ziyaretçiyi ağırladı.",Ekonomi
59,"Türkiye, azalan genç işsizlik oranıyla AB ülkelerini geride bıraktı","Genç işsizlik oranında 2023'te son 10 yılın en düşük seviyesini gören Türkiye, 9 Avrupa Birliği ülkesinden daha iyi performansla yılı tamamladı.",Ekonomi
60,BIST 100 güne yatay başladı,"Borsa İstanbul'da BIST 100 endeksi, güne yatay bir seyirle 9.029,50 puandan başladı.",Ekonomi
61,Endeks kontratı güne yatay başladı,"Borsa İstanbul Vadeli İşlem ve Opsiyon Piyasası'nda (VİOP) nisan vadeli BIST 30 endeksine dayalı kontrat, güne yatay bir seyirle 10.016,75 puandan başladı.",Ekonomi
62,Deprem konutu hak sahipliğinde ek süre başvuruları bugün sona eriyor,6 Şubat depremlerinde ev ve iş yerleri yıkılan depremzedelere devlet yardımından yararlanmak için ek süre tanındı. Depremzedeler bugün saat 23.59'a kadar e-Devlet ya da başvuru ofisleri üzerinden başvuru yapabilecek.,Ekonomi
63,SGK: Ölüm aylığı alanlara 5 bin TL promosyon ödenecek,"SGK ölüm aylığı alan 3,3 milyon hak sahibine de başvurmaları halinde 5 bin TL promosyon ödeneceğini duyurdu.",Ekonomi
64,"Ericsson, İsveç'te 1200 kişiyi daha işten çıkarıyor","İsveçli telekomünikasyon ekipmanı üreticisi Ericsson, siparişlerin azalması nedeniyle İsveç'te 1200 kişinin işten çıkarılacağını duyurdu.",Ekonomi
65,Cumhurbaşkanı Yardımcısı Yılmaz: İstihdamda artışların sürmesini bekliyoruz,"Cumhurbaşkanı Yardımcısı Yılmaz, ""Büyüme-istihdam ilişkisinin kuvvetlenmesi ve istikrarlı büyüme performansımızın devam etmesiyle birlikte kadınlar ve gençler başta olmak üzere istihdamda artışların sürmesini bekliyoruz"" açıklamasını yaptı.",Ekonomi
