,Başlık,İçerik,Kategori
537,Antik Sarayini yer altı şehrinin keşfedilen alanı 20 bin metrekareye ulaştı,"Konya'nın Sarayönü ilçesinde, geçmişi Roma dönemine tarihlendirilen ""Sarayini"" yer altı şehrindeki yeni keşifler antik yerin, dönemine göre yüksek konfor alanı ve geniş imkanlar sunan yapılar bütünü olduğunu ortaya koyuyor. Yer altı şehrinde bu yıl keşfedilen yeni alanlarla, mekan sayısı 30'u, yayılım alanı ise 20 bin metrekareyi buldu.",Kültür Sanat
538,Amos'ta iskanı sona erdiren büyük yangın ve depremin izlerine rastlandı,Muğla'nın Marmaris ilçesindeki Amos Antik Kenti'nde yürütülen kazılarda milattan sonra 3. yüzyılda iskanı sona erdiren büyük deprem ve yangının izleri ortaya çıkarıldı.,Kültür Sanat
539,Kazı çalışmalarında bulunan 2 bin 500 yıllık su sarnıcı turizme kazandırılıyor,Harput Mahallesi'nde Urartu Krallığı tarafından kurulan ve tarihe ışık tutan 5 bin yıllık Harput Kalesi'nde devam edilen iç kale kazı çalışmalarında bulunan yaklaşık 2 bin 500 yıllık su sarnıcı turizme kazandırılıyor.,Kültür Sanat
540,"Konya'da ""Kelime-i Tevhid Hat Sergisi"" sanatseverlerle buluştu","Konya'da hat tablolarından hazırlanan ""Kelime-i Tevhid Hat Sergisi"" ziyarete açıldı.",Kültür Sanat
541,"Çankırı'da bu yıl 8,5 milyon yıllık 100 fosil bulundu","Çankırı'daki Çorakyerler Omurgalı Fosil Lokalitesi'nde 2001 yılından beri yürütülen ve bu yıl temmuz ayında başlatılan kazı çalışmalarında yaklaşık 8,5 milyon yıllık 100 fosil bulundu.",Kültür Sanat
542,Bakan Ersoy: 2028 yılında 35 şehre Kültür Yolu Festivallerini yaymayı hedefliyoruz,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, her yıl 5 şehir ilave ederek 2028 yılında 35 şehre Kültür Yolu Festivallerini yaymayı hedeflediklerini söyledi.",Kültür Sanat
543,Mabolla Antik Kenti 2 bin 400 yıllık tarihe ışık tutacak,Muğla'nın Menteşe ilçesinde kentin ilk yerleşimi olan Mabolla Antik Kenti'nde yürütülen kazı çalışmasında 2 bin 400 yıl öncesine ait verilere ulaşıldı.,Kültür Sanat
544,Saraybosna Film Festivali'nde ödüller sahiplerini buldu,Bosna Hersek'te bu yıl 29'uncusu düzenlenen Saraybosna Film Festivali'nde (SFF) ödül kazananlar belli oldu.,Kültür Sanat
545,"""Türk Cumhuriyetleri Geleneksel El Sanatları Sergisi"" ziyarete açıldı","Keçiören Belediyesi ile Uluslararası Türk Kültürü Teşkilatı (TÜRKSOY) iş birliğinde belediyeye ait Sanat Galerisinde Türk Cumhuriyetleri Geleneksel El Sanatları Sergisi""nin açılışı yapıldı.",Kültür Sanat
546,'Tulumtaş Mağarası' sıcaktan bunalanların akınına uğradı,"Yapısı nedeniyle yazın soğuk, kışın sıcak havaya sahip ""Tulumtaş Mağarası"" klimayı aratmayan soğuk etkisiyle yaz aylarında doğal ortamda serinlemek isteyen ziyaretçilerin tercih ettiği uğrak yerleri arasında bulunuyor.",Kültür Sanat
