,Başlık,İçerik,Kategori
63,"Güney Kore'de 2023'ün, kayıtlara geçen en sıcak yıl olduğu açıklandı","Güney Kore'de yıllık ortalama sıcaklığın 13,7 dereceye ulaşmasıyla 2023 yılının, ülkede kayıtlara geçen ""en sıcak yıl"" olduğu bildirildi.",Çevre
64,Göller su kaybediyor: Hangi önlemler alınmalı?,"Dünyada tatlı su kaynağının önemli bir bölümünü oluşturan göllerde su kaybı artıyor. Suyun her geçen sene azalması, bu kaynakların daha iyi kullanılması gerektiği gerçeğini gözler önüne seriyor. Bu nedenle kuruyan göller için alınması gereken tedbirler daha da önem taşıyor.",Çevre
65,Dere yataklarındaki kirlilik sel riskini artırıyor,"Uzmanlar, dere yataklarındaki kirliliğin aşırı yağışların olduğu dönemlerde kentlerdeki sel riskini artırdığını belirtiyor.",Çevre
66,Florlu gazların atmosferdeki varlığı binlerce yıl sürebiliyor,"Uzmanlar, küresel ısınmaya neden olan sera gazları arasında yer alan ve atmosferdeki varlığı binlerce yıl sürebilen florlu gazların emisyonlarının azaltılması yönünde belirlenen hedeflerin yeterli olmadığını söylüyor.",Çevre
67,Çevreyi kirletenlere verilecek cezalar belli oldu,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığınca 2024'te çevreyi kirletenlere uygulanacak idari para cezaları belirlendi.",Çevre
68,İklim değişikliği Türkiye'nin yağış rejimini etkiliyor,"İklim değişikliğiyle Türkiye'nin yağış rejimi de değişiyor. Uzmanlar, küresel iklim değişikliğinin yıl içerisindeki yağışların düzenli dağılışını etkilediğini söylüyor.",Çevre
69,Doğaseverlerin yeni adresi: İstanbul Kuş Cenneti,"Doğa tutkunu, özellikle de kuşlara ilgisi olanların gezi rotasına ekleyebileceği yeni bir adres var. İstanbul Kuş Cenneti... Beykoz'da bulunan park 50 farklı türde 2 binden fazla kuşa ev sahipliği yapıyor.",Çevre
70,İzmit Körfezi dip çamurundan temizleniyor,İzmit Körfezi'nde biyoçeşitliliğin korunması amacıyla mayısta başlatılan proje kapsamında bugüne kadar denizden 200 bin metreküp dip çamuru çekilerek 32 hektarlık alan temizlendi.,Çevre
71,Çocuklar ABD'ye çevre kirliliği davası açtı,"ABD'nin California eyaletinde 18 çocuk, çevre kirliliğini önlemediği gerekçesiyle devlete dava açtı.",Çevre
72,"Arazi örtüsü verileri, yapay zeka destekli sistemle tespit edilecek","Çevre, Şehircilik ve İklim Değişikliği Bakanlığı, arazi örtüsünün mevcut durumunun belirlenmesi ve yıllar içindeki değişimlerin izlenebilmesi amacıyla yapay zeka destekli Ulusal Arazi Örtüsü Sınıflandırma ve İzleme Sistemi (UASİS) projesini geliştirdi.",Çevre
73,Araştırma: Avustralya'daki mercan adaları yok olma tehlikesi altında,"Avustralya'da Sydney Üniversitesinde yapılan araştırma, ülkedeki mercan adalarının yok olma tehlikesiyle karşı karşıya bulunduğunu ortaya koydu.",Çevre
74,"Anadolu kuraklaşıyor, uzmanlar uyarıyor: Bir krizin eşiğindeyiz",Bereketli topraklarıyla onlarca medeniyete ev sahipliği yapmış coğrafyamız kuraklık tehlikesi ile karşı karşıya… Türkiye'nin neredeyse yarısı kuraklaşmış durumda. Birçok irili ufaklı göl ya kurudu ya da kurumaya yüz tuttu. Uzmanlara göre bu durumun sorumlusu yalnızca küresel ısınma değil yanlış sulama...,Çevre
75,Dünyanın sorunu: İklim değişikliği,Dünyanın önemli sorunlarının başında iklim değişikliği geliyor. Ya da diğer adıyla iklim krizi. Uzmanlar iklim değişikliğinin ülkelerin güvenliğini bile etkileyebileceğini belirtiyor. Türkiye'nin aldığı tedbirleri ve olası sorunlara çözüm yollarını araştırdık.,Çevre
